descripcion,palabras,verbos,sustantivos,adjetivos,diversidad,perplexity,tiene_verbo,tiene_root,dependencias
1 in scoring,3,1,0,0,1.0,80.2635801101006,True,True,"Counter({'ROOT': 1, 'prep': 1, 'pobj': 1})"
Played cards held in the same suit icon Heart suit icon Spade suit changes every time a Spectral card when Blind is defeated,23,4,8,2,0.8695652173913043,72.7619207290276,True,True,"Counter({'compound': 5, 'amod': 3, 'det': 3, 'nsubj': 2, 'npadvmod': 2, 'acl': 1, 'prep': 1, 'pobj': 1, 'ROOT': 1, 'advmod': 1, 'nsubjpass': 1, 'auxpass': 1, 'advcl': 1})"
+50 Chips 5 Chips if played card when scored Card that is added to Mult every Jack discarded,18,5,1,0,0.8888888888888888,93.98819281418334,True,True,"Counter({'advcl': 3, 'dobj': 3, 'nmod': 1, 'nummod': 1, 'mark': 1, 'advmod': 1, 'nsubjpass': 1, 'auxpass': 1, 'relcl': 1, 'prep': 1, 'pobj': 1, 'det': 1, 'nsubj': 1, 'ROOT': 1})"
Joker gains +3 discards each played 8 gives +8 Mult when scored suit give +50 Chips for each round,19,6,4,0,0.9473684210526315,71.83755119003702,True,True,"Counter({'dobj': 4, 'nsubj': 3, 'compound': 2, 'advcl': 2, 'ROOT': 1, 'dep': 1, 'advmod': 1, 'conj': 1, 'amod': 1, 'prep': 1, 'det': 1, 'pobj': 1})"
This Joker gains +8 Mult if played rank ex 1 at end of round Payout increases by end of round,20,3,3,1,0.85,51.957662797827616,True,True,"Counter({'prep': 4, 'pobj': 4, 'compound': 3, 'det': 1, 'ROOT': 1, 'appos': 1, 'mark': 1, 'advcl': 1, 'dobj': 1, 'npadvmod': 1, 'nummod': 1, 'amod': 1})"
Uncommon Jokers to 20 in 1000 chance for the round has only 1 in scoring 2 chance this run to deck,21,3,4,0,0.8571428571428571,113.4192952667903,True,True,"Counter({'prep': 3, 'nsubj': 2, 'quantmod': 2, 'nummod': 2, 'pobj': 2, 'dobj': 2, 'compound': 1, 'det': 1, 'ROOT': 1, 'advmod': 1, 'pcomp': 1, 'acl': 1, 'aux': 1, 'xcomp': 1})"
When Small Blind is destroyed at the sell value to deck s Mult if played hand gives X1.5 Mult 1 hand abilities,22,3,6,1,0.9090909090909091,82.65107852035689,True,True,"Counter({'compound': 3, 'dobj': 3, 'advcl': 2, 'advmod': 1, 'amod': 1, 'nsubjpass': 1, 'auxpass': 1, 'prep': 1, 'det': 1, 'pobj': 1, 'aux': 1, 'poss': 1, 'case': 1, 'mark': 1, 'ROOT': 1, 'dative': 1, 'nummod': 1})"
+20 Mult 1 when scored,5,1,1,0,1.0,62.85423453659926,True,True,"Counter({'npadvmod': 1, 'appos': 1, 'nummod': 1, 'advmod': 1, 'ROOT': 1})"
Played cards earn 4 chance this card,7,2,3,0,1.0,72.05010351056666,True,True,"Counter({'amod': 1, 'nsubj': 1, 'ROOT': 1, 'nummod': 1, 'dobj': 1, 'det': 1, 'npadvmod': 1})"
Retrigger all card,3,1,1,0,1.0,77.16153126184778,True,True,"Counter({'ROOT': 1, 'det': 1, 'dobj': 1})"
