descripcion,palabras,verbos,sustantivos,adjetivos,diversidad,perplexity,tiene_verbo,tiene_root,dependencias
1 cambio gratuito por tienda,5,0,2,1,1.0,182.08443595160446,False,True,"Counter({'nummod': 1, 'ROOT': 1, 'amod': 1, 'case': 1, 'nmod': 1})"
Agrega a Mult el número de veces que se ha jugado en esta ronda,14,2,3,0,1.0,169.25177836347973,True,True,"Counter({'case': 3, 'det': 2, 'nsubj': 2, 'ROOT': 1, 'obj': 1, 'nmod': 1, 'expl:pass': 1, 'aux': 1, 'acl': 1, 'obl': 1})"
X3 Mult si la mano jugada contiene dos pares,9,1,2,1,1.0,91.12364156464292,True,True,"Counter({'ROOT': 1, 'flat': 1, 'mark': 1, 'det': 1, 'nsubj': 1, 'amod': 1, 'advcl': 1, 'nummod': 1, 'obj': 1})"
+3 de multiplicador al anotar,5,1,1,0,1.0,97.3737864216212,True,True,"Counter({'ROOT': 2, 'case': 2, 'nmod': 1})"
+100 fichas 5 fichas por cada descarte si no se utilizan descartes al final de la ronda,17,2,6,0,0.9411764705882353,127.0170256474552,True,True,"Counter({'nsubj': 3, 'case': 3, 'nmod': 3, 'det': 2, 'ROOT': 1, 'nummod': 1, 'mark': 1, 'advmod': 1, 'expl:pass': 1, 'advcl': 1})"
Las cartas jugadas con el palo de diamantes dan +3 de multiplicador por cadacarta de comodín,16,1,7,1,0.875,90.10297414893316,True,True,"Counter({'case': 4, 'nmod': 3, 'det': 2, 'fixed': 2, 'nsubj': 1, 'amod': 1, 'ROOT': 1, 'obj': 1, 'obl': 1})"
Añade 1 de valor de venta a cada carta comodin y consumible al final de la ronda es un solo 6 destrúyela y crea una carta Espectral,27,2,6,2,0.8518518518518519,155.9153132725917,True,True,"Counter({'case': 5, 'det': 4, 'nmod': 3, 'conj': 3, 'nsubj': 2, 'cc': 2, 'obj': 2, 'obl': 1, 'cop': 1, 'amod': 1, 'nummod': 1, 'ROOT': 1, 'appos': 1})"
Multiplicador X4 cada 6 manos jugadas,6,0,1,1,1.0,153.95403380226702,False,True,"Counter({'ROOT': 1, 'flat': 1, 'nmod': 1, 'nummod': 1, 'appos': 1, 'amod': 1})"
Gana 4 si tu mano de póker contiene una carta de figura jugada otorga un multiplicador de x 1.5 al obtener una puntuación,23,4,6,1,0.8695652173913043,150.4756770518018,True,True,"Counter({'det': 4, 'case': 4, 'advcl': 3, 'obj': 3, 'nummod': 2, 'nmod': 2, 'ROOT': 1, 'mark': 1, 'nsubj': 1, 'amod': 1, 'cc': 1})"
Cada rey en tu mano tiene una probabilidad de 1 entre 2 de crear una carta del Tarot al abrir cualquier paquete potenciador,23,3,5,1,0.9130434782608695,142.074295479479,True,True,"Counter({'det': 5, 'case': 5, 'obj': 4, 'nsubj': 1, 'obl': 1, 'ROOT': 1, 'nummod': 1, 'compound': 1, 'mark': 1, 'acl': 1, 'nmod': 1, 'advcl': 1})"
Reactiva cada vez que se usa una carta Planeta,9,2,2,0,1.0,162.41483817625564,True,True,"Counter({'det': 2, 'ROOT': 1, 'nmod': 1, 'obl': 1, 'expl:pass': 1, 'acl': 1, 'nsubj': 1, 'appos': 1})"
+10 de multiplicador si la mano jugada contiene un trío,10,1,3,1,1.0,81.92764419026503,True,True,"Counter({'det': 2, 'ROOT': 1, 'case': 1, 'nmod': 1, 'mark': 1, 'nsubj': 1, 'amod': 1, 'acl': 1, 'obj': 1})"
Este comodín gana X0.1 Mult cada vez que una carta de Corazones y una carta de juego a tu mazo,20,1,6,0,0.85,126.52942942882181,True,True,"Counter({'det': 5, 'case': 3, 'nmod': 3, 'nsubj': 2, 'ROOT': 1, 'flat': 1, 'obl': 1, 'mark': 1, 'obj': 1, 'cc': 1, 'conj': 1})"
Gana 8 si la mano jugada contiene una Escalera,9,2,1,1,1.0,90.61435785375251,True,True,"Counter({'det': 2, 'ROOT': 1, 'dep': 1, 'mark': 1, 'nsubj': 1, 'amod': 1, 'advcl': 1, 'obj': 1})"
+1 tamaño de mano se reduce en 1 en cada ronda,11,1,4,0,0.9090909090909091,160.42644971531163,True,True,"Counter({'case': 3, 'nmod': 2, 'obl': 2, 'nsubj': 1, 'expl:pv': 1, 'ROOT': 1, 'det': 1})"
Multiplicador de X0.25 por cada ciega omitido en esta ronda,10,0,2,1,1.0,137.00695477871682,False,True,"Counter({'case': 3, 'det': 2, 'ROOT': 1, 'flat': 1, 'nmod': 1, 'amod': 1, 'obl': 1})"
+1 Multiplicador porcarta de Tarot utilizada en esta partida,9,0,2,1,1.0,173.88357413421042,False,True,"Counter({'case': 2, 'ROOT': 1, 'appos': 1, 'flat': 1, 'nmod': 1, 'amod': 1, 'det': 1, 'obl': 1})"
Gana +15 fichas si la mano jugada contiene un color,10,2,3,1,1.0,71.91240363961465,True,True,"Counter({'nsubj': 2, 'det': 2, 'flat': 1, 'ROOT': 1, 'mark': 1, 'amod': 1, 'ccomp': 1, 'obj': 1})"
1 cambio gratuito por tienda,5,0,2,1,1.0,182.08443595160446,False,True,"Counter({'nummod': 1, 'ROOT': 1, 'amod': 1, 'case': 1, 'nmod': 1})"
Cada carta jugada cuenta para la puntuación,7,1,2,1,1.0,139.13805568766875,True,True,"Counter({'det': 2, 'nsubj': 1, 'amod': 1, 'ROOT': 1, 'case': 1, 'obj': 1})"
Multiplica por 3 si todas las cartas con figuras jugadas tienen una probabilidad de 1 entre 4 posibilidades de mejorar el nivel de la primera mano de la ronda,29,2,8,2,0.8620689655172413,131.9199201484133,True,True,"Counter({'case': 6, 'det': 6, 'nummod': 3, 'nmod': 3, 'obj': 3, 'mark': 2, 'amod': 2, 'ROOT': 1, 'nsubj': 1, 'advcl': 1, 'acl': 1})"
La primera carta de figura jugada otorga un multiplicador de x 1.5,12,1,3,2,0.9166666666666666,173.82297838771822,True,True,"Counter({'det': 2, 'amod': 2, 'case': 2, 'nmod': 2, 'nsubj': 1, 'ROOT': 1, 'obj': 1, 'nummod': 1})"
Multiplicador de X0.25 por cada ciega omitido en esta ronda,10,0,2,1,1.0,137.00695477871682,False,True,"Counter({'case': 3, 'det': 2, 'ROOT': 1, 'flat': 1, 'nmod': 1, 'amod': 1, 'obl': 1})"
Multiplicador de 2 si la mano jugada tiene exactamente 4 cartas,11,1,2,1,1.0,114.30142411585966,True,True,"Counter({'obj': 2, 'ROOT': 1, 'case': 1, 'nummod': 1, 'mark': 1, 'det': 1, 'nsubj': 1, 'amod': 1, 'advcl': 1, 'advmod': 1})"
Reactivar todas las cartas en la mano son picas o tréboles,11,1,2,2,1.0,171.464992242649,True,True,"Counter({'det': 3, 'csubj': 1, 'obj': 1, 'case': 1, 'obl': 1, 'cop': 1, 'ROOT': 1, 'cc': 1, 'conj': 1})"
Agrega a Mult el número de veces que se ha jugado en esta ronda,14,2,3,0,1.0,169.25177836347973,True,True,"Counter({'case': 3, 'det': 2, 'nsubj': 2, 'ROOT': 1, 'obj': 1, 'nmod': 1, 'expl:pass': 1, 'aux': 1, 'acl': 1, 'obl': 1})"
Todas las cartas jugadas durante las próximas 10 manos,9,0,2,2,0.8888888888888888,139.96133815429357,False,True,"Counter({'det': 3, 'amod': 2, 'ROOT': 1, 'case': 1, 'nummod': 1, 'nmod': 1})"
+15 Multiplicador 1 en 6 posibilidades de que esta carta sea destruida al final de la ronda El pago aumenta en 2 cuando se anotan,25,3,5,0,0.92,144.67751335347347,True,True,"Counter({'case': 4, 'nsubj': 3, 'mark': 3, 'det': 3, 'nummod': 2, 'nmod': 2, 'obl': 2, 'flat': 1, 'aux': 1, 'acl': 1, 'ROOT': 1, 'expl:pass': 1, 'advcl': 1})"
Si la primera mano de póker jugada,7,0,3,1,1.0,124.49982633076874,False,True,"Counter({'nmod': 2, 'mark': 1, 'det': 1, 'amod': 1, 'ROOT': 1, 'case': 1})"
Gana 1 por cada 9 en tu baraja,8,1,1,0,1.0,140.85034204626024,True,True,"Counter({'case': 2, 'det': 2, 'obl': 2, 'ROOT': 1, 'nummod': 1})"
Copia la habilidad del comodín del extremo izquierdo,8,0,3,1,0.875,159.76571496426405,False,True,"Counter({'case': 2, 'nmod': 2, 'ROOT': 1, 'det': 1, 'nsubj': 1, 'amod': 1})"
Las cartas jugadas con el palo de tréboles dan +7 de multiplicador al puntuar 10 8 6 4 2,19,2,4,1,0.9473684210526315,102.89660375295962,True,True,"Counter({'case': 4, 'det': 2, 'nmod': 2, 'obj': 2, 'obl': 2, 'compound': 2, 'nsubj': 1, 'amod': 1, 'ROOT': 1, 'advcl': 1, 'nummod': 1})"
Este comodín gana +3 de multiplicador al anotar,8,2,3,0,1.0,61.96377226347017,True,True,"Counter({'case': 2, 'det': 1, 'nsubj': 1, 'ROOT': 1, 'obj': 1, 'nmod': 1, 'advcl': 1})"
+15 Multiplica cuando quedan 0 descartes,6,1,1,0,1.0,182.3568621311008,True,True,"Counter({'ROOT': 1, 'flat': 1, 'mark': 1, 'advcl': 1, 'nummod': 1, 'obj': 1})"
Multiplicador X4 cada 6 manos jugadas,6,0,1,1,1.0,153.95403380226702,False,True,"Counter({'ROOT': 1, 'flat': 1, 'nmod': 1, 'nummod': 1, 'appos': 1, 'amod': 1})"
Cada jugada de 10 o 4 da +10 fichas y +4 multiplicador al ser anotados,15,2,1,2,1.0,162.90737547239172,True,True,"Counter({'obj': 3, 'case': 2, 'cc': 2, 'conj': 2, 'det': 1, 'nsubj': 1, 'nummod': 1, 'ROOT': 1, 'aux': 1, 'advcl': 1})"
+3 descartes por ronda 1 tamaño de mano,8,0,4,1,1.0,169.37984350588175,False,True,"Counter({'case': 2, 'nmod': 2, 'det': 1, 'ROOT': 1, 'nummod': 1, 'appos': 1})"
Copia la habilidad del Joker a la derecha,8,0,2,0,0.875,159.76571496426405,False,True,"Counter({'det': 2, 'case': 2, 'nmod': 2, 'ROOT': 1, 'nsubj': 1})"
Las cartas jugadas con el palo de tréboles dan +3 de multiplicador al puntuar 10 8 6 5 3,19,2,5,1,0.9473684210526315,93.98886277065752,True,True,"Counter({'case': 4, 'nmod': 3, 'compound': 3, 'det': 2, 'nsubj': 1, 'amod': 1, 'ROOT': 1, 'obj': 1, 'advcl': 1, 'nummod': 1, 'obl': 1})"
Cada As 2 3 5 u 8 jugado otorga +8 de multiplicador al anotar,14,2,1,1,1.0,140.94998257674357,True,True,"Counter({'nummod': 2, 'nmod': 2, 'case': 2, 'det': 1, 'obl': 1, 'cc': 1, 'conj': 1, 'amod': 1, 'ROOT': 1, 'obj': 1, 'advcl': 1})"
Este comodín gana +3 fichas por cada carta restante en la baraja,12,1,4,1,1.0,109.9135796969196,True,True,"Counter({'det': 4, 'case': 2, 'nsubj': 1, 'ROOT': 1, 'obj': 1, 'obl': 1, 'amod': 1, 'nmod': 1})"
Las cartas jugadas con el palo de diamantes dan +3 de multiplicador por cadacarta de comodín,16,1,7,1,0.875,90.10297414893316,True,True,"Counter({'case': 4, 'nmod': 3, 'det': 2, 'fixed': 2, 'nsubj': 1, 'amod': 1, 'ROOT': 1, 'obj': 1, 'obl': 1})"
Cada As 2 3 5 u 8 jugado otorga +8 de multiplicador al puntuar 10 8 6 4 2,19,2,1,1,0.8947368421052632,173.94686493834712,True,True,"Counter({'nummod': 3, 'obl': 2, 'nmod': 2, 'obj': 2, 'case': 2, 'compound': 2, 'det': 1, 'cc': 1, 'conj': 1, 'amod': 1, 'ROOT': 1, 'advcl': 1})"
Mejora el nivel de la primera mano de la ronda,10,1,3,1,0.8,135.32471994779937,True,True,"Counter({'det': 3, 'case': 2, 'nmod': 2, 'ROOT': 1, 'obj': 1, 'amod': 1})"
Copia la habilidad del Joker a la derecha,8,0,2,0,0.875,159.76571496426405,False,True,"Counter({'det': 2, 'case': 2, 'nmod': 2, 'ROOT': 1, 'nsubj': 1})"
Cada As 2 3 5 u 8 jugado otorga +8 de multiplicador al puntuar 10 8 6 5 3,19,2,1,1,0.8421052631578947,173.94686493834712,True,True,"Counter({'obl': 3, 'nummod': 3, 'nmod': 2, 'case': 2, 'compound': 2, 'det': 1, 'cc': 1, 'conj': 1, 'amod': 1, 'ROOT': 1, 'obj': 1, 'advcl': 1})"
Gana 8 si la mano jugada contiene una escalera,9,2,2,1,1.0,78.92714772771379,True,True,"Counter({'det': 2, 'ROOT': 1, 'dep': 1, 'mark': 1, 'nsubj': 1, 'amod': 1, 'advcl': 1, 'obj': 1})"
Gana 4 al final de la ronda,7,0,2,0,1.0,71.544594430983,False,True,"Counter({'case': 2, 'nmod': 2, 'ROOT': 1, 'nummod': 1, 'det': 1})"
Cada carta con figura en tu mano otorga multi X1.5,10,1,4,0,1.0,155.79576634890932,True,True,"Counter({'det': 2, 'case': 2, 'nmod': 2, 'nsubj': 1, 'ROOT': 1, 'compound': 1, 'obj': 1})"
+2 de tamaño de mano 1 de mano por ronda,10,0,5,0,0.7,168.6202588936829,False,True,"Counter({'case': 4, 'nmod': 3, 'ROOT': 1, 'appos': 1, 'compound': 1})"
+5 de tamaño de mano,5,0,3,0,0.8,162.51134302268525,False,True,"Counter({'case': 2, 'nmod': 2, 'ROOT': 1})"
Las cartas con figuras jugadas otorgan +5 de multiplicador al anotar,11,2,4,1,1.0,89.22741512865657,True,True,"Counter({'case': 3, 'nmod': 2, 'det': 1, 'nsubj': 1, 'amod': 1, 'ROOT': 1, 'obj': 1, 'advcl': 1})"
Este comodín gana X0.5 Mult por cada reroll en la tienda,11,1,3,0,1.0,115.20762917885806,True,True,"Counter({'det': 2, 'case': 2, 'obl': 2, 'nsubj': 1, 'ROOT': 1, 'obj': 1, 'flat': 1, 'fixed': 1})"
+80 fichas si la mano jugada contiene una escalera,9,1,3,2,1.0,70.41286976825413,True,True,"Counter({'nsubj': 2, 'det': 2, 'ROOT': 1, 'mark': 1, 'amod': 1, 'ccomp': 1, 'obj': 1})"
Las cartas jugadas con el palo de tréboles dan +7 de multiplicador al anotar,14,2,4,1,0.9285714285714286,69.99133427897557,True,True,"Counter({'case': 4, 'det': 2, 'nmod': 2, 'obj': 2, 'nsubj': 1, 'amod': 1, 'ROOT': 1, 'advcl': 1})"
Duplica todas las probabilidades ejemplo 1 de 3 2 de 3,11,1,2,0,0.8181818181818182,189.28725941974753,True,True,"Counter({'case': 3, 'det': 2, 'nummod': 2, 'ROOT': 1, 'obj': 1, 'compound': 1, 'nmod': 1})"
Gana +15 fichas si la mano jugada contiene una Escalera,10,2,2,1,1.0,85.32343755853312,True,True,"Counter({'nsubj': 2, 'det': 2, 'flat': 1, 'ROOT': 1, 'mark': 1, 'amod': 1, 'ccomp': 1, 'obj': 1})"
Reactiva todas las cartas en la mano final de la ronda,11,0,3,2,0.9090909090909091,104.59602906996169,False,True,"Counter({'det': 4, 'case': 2, 'ROOT': 1, 'nsubj': 1, 'obl': 1, 'amod': 1, 'nmod': 1})"
+15 Multiplicador 1 en 6 posibilidades de que esta carta sea destruida al final de la ronda,17,1,4,0,0.9411764705882353,117.12118941010407,True,True,"Counter({'case': 3, 'nummod': 2, 'mark': 2, 'det': 2, 'obl': 2, 'ROOT': 1, 'flat': 1, 'nmod': 1, 'nsubj': 1, 'aux': 1, 'acl': 1})"
Gana 1 por cada 9 en tu baraja completa al final de la ronda,14,1,3,1,1.0,104.68520082210098,True,True,"Counter({'case': 4, 'det': 3, 'obl': 2, 'nmod': 2, 'ROOT': 1, 'nummod': 1, 'amod': 1})"
